trade_date,sentiment,total_trades,total_volume_usd,avg_trade_size,total_pnl,avg_pnl,pnl_std
2024-08-03,Fear,37,290532.86,7852.239459459459,464.1897,12.545667567567568,76.3123165975776
2024-08-04,Fear,127,1207744.07,9509.795826771655,-122672.000883,-965.9212667952756,3618.961540622186
2024-08-05,Fear,80,420495.4,5256.1925,-13013.665169,-162.6708146125,795.0273715447163
2024-08-06,Fear,107,61478.38,574.5642990654205,267.318048,2.4982995140186914,8.28376598603028
2024-08-07,Fear,33,2492.77,75.53848484848484,188.789255,5.720886515151515,10.349410204930836
2024-08-08,Fear,9,16299.35,1811.038888888889,-40.712216999999995,-4.5235796666666666,9.68187399440364
2024-08-09,Greed,144,503204.86,3494.4781944444444,18082.071276,125.56993941666666,454.8533022933731
2024-08-10,Fear,88,11339.29,128.8555681818182,0.0,0.0,0.0
2024-08-11,Fear,24,44230.21,1842.9254166666667,847.7766200000001,35.32402583333334,91.2518343902943
2024-08-12,Fear,48,54167.32,1128.4858333333334,858.6705000000001,17.88896875,64.64753431191872
2024-08-13,Fear,23,20797.87,904.2552173913043,212.08102,9.220913913043479,19.422324125365535
2024-08-14,Fear,25,66710.03,2668.4012,2168.9015130000003,86.75606052,329.1190167138969
2024-08-15,Fear,12,1522.3700000000001,126.86416666666668,0.0,0.0,0.0
2024-08-16,Fear,35,166382.84,4753.795428571429,825.230544,23.578015542857145,80.13737948448535
2024-08-17,Fear,30,30248.96,1008.2986666666667,-288.283113,-9.609437100000001,52.63305464597027
2024-08-18,Fear,15,62804.48,4186.965333333334,307.201888,20.480125866666665,30.913873872729887
2024-08-19,Fear,8,100315.03,12539.37875,339.69958299999996,42.462447874999995,67.50399160612497
2024-08-20,Fear,12,49914.8,4159.566666666667,192.602844,16.050237,55.59965191504375
2024-08-21,Fear,145,104990.41,724.0717931034483,656.200925,4.525523620689655,16.514528261674556
2024-08-23,Fear,10,63509.56,6350.956,1005.30527,100.53052699999999,280.4841642773341
2024-08-24,Greed,7,34999.67,4999.952857142857,0.0,0.0,0.0
2024-08-25,Greed,17,21950.28,1291.1929411764704,0.0,0.0,0.0
2024-08-26,Greed,6,92611.27,15435.211666666668,231.236918,38.539486333333336,60.225332502001116
2024-08-27,Greed,50,70250.16,1405.0032,0.0,0.0,0.0
2024-08-28,Fear,9,71160.06999999999,7906.674444444444,1333.359645,148.15107166666667,294.00593721532755
2024-08-29,Fear,1,9995.85,9995.85,0.0,0.0,
2024-08-30,Fear,6,37233.24,6205.54,256.464,42.744,104.70098956552417
2024-08-31,Fear,34,107507.43000000001,3161.983235294118,10.882801,0.3200823823529412,0.8923899892238314
2024-09-01,Fear,12,12359.68,1029.9733333333334,137.433093,11.452757750000002,25.479618769976113
2024-09-02,Fear,2,30000.42,15000.21,0.0,0.0,0.0
2024-09-04,Fear,34,131480.97,3867.0873529411765,1065.785132,31.346621529411763,462.16602470807555
2024-09-05,Fear,1,0.84,0.84,0.0,0.0,
2024-09-06,Fear,42,39047.1,929.6928571428571,-1104.856765,-26.306113452380952,21.910908628012873
